state,SUM,latitude,longitude
West Virginia,3,37.7628,-81.1737
Kansas,3,39.1312,-94.6351
New York,3,40.6933,-73.9308
North Carolina,3,36.0262,-76.8086
Massachusetts,3,42.3003,-71.0715
Pennsylvania,3,39.9537,-76.7455
Washington,3,47.5709,-122.281
California,3,37.3894,-120.609
Indiana,3,39.797,-85.9858
Illinois,3,41.7558,-88.284
Illinois,3,41.8552,-87.7094
Illinois,3,41.8701,-87.7231
Ohio,3,41.4715,-81.7581
Louisiana,3,29.9072,-90.0615
Missouri,3,38.7011,-90.2546
California,3,38.036,-121.327
Florida,3,26.6693,-80.1249
Ohio,3,41.6181,-83.5822
Alabama,3,33.5572,-86.8186
Minnesota,3,47.7227,-96.6533
Illinois,3,41.881,-87.6247
Illinois,3,41.7631,-87.6532
Illinois,3,41.8773,-87.7257
Illinois,3,41.8728,-87.7231
Illinois,3,41.7693,-87.6141
Tennessee,3,36.1921,-86.7674
California,3,36.915,-121.754
Pennsylvania,3,39.9408,-75.2183
Georgia,3,33.3768,-84.8125
Minnesota,3,44.9426,-93.2338
California,3,33.8627,-118.194
Wisconsin,3,43.0834,-87.9223
Illinois,3,41.7734,-87.6277
California,3,34.5224,-117.307
Missouri,3,38.678,-90.2797
Illinois,3,41.8855,-87.6696
Tennessee,3,36.1651,-86.824
Illinois,3,41.7476,-87.5958
Indiana,3,40.4249,-86.8494
Michigan,3,42.9609,-85.6678
New York,3,40.694,-73.9372
Pennsylvania,3,39.9955,-75.1295
Louisiana,3,30.5207,-91.1693
California,3,33.9062,-118.236
District of Columbia,3,38.9036,-76.9507
Indiana,3,39.8817,-86.2658
Missouri,3,38.6376,-90.2131
Missouri,3,38.6396,-90.1994
Maryland,3,39.2849,-76.7527
District of Columbia,3,38.8481,-76.9701
Georgia,3,33.5126,-84.3599
Pennsylvania,3,39.9868,-75.1474
Illinois,3,41.7622,-87.6091
Pennsylvania,3,40.4177,-79.9634
South Carolina,3,32.805,-80.014
Massachusetts,3,42.5273,-71.7499
Missouri,3,38.6197,-90.2198
New York,3,42.9313,-78.8393
North Carolina,3,35.4808,-79.1586
Georgia,3,33.9228,-84.1892
Alabama,3,33.4577,-86.9205
Minnesota,3,45.007,-93.3078
Indiana,3,41.0632,-85.1457
Ohio,3,39.9855,-82.9658
California,3,33.7537,-118.309
Virginia,3,37.5744,-77.4196
Illinois,3,41.9523,-87.701
Illinois,3,41.8808,-87.7529
Ohio,3,39.131,-84.484
Arkansas,3,35.6356,-90.6606
Florida,3,26.4636,-80.0845
California,3,37.9575,-122.37
Illinois,3,41.8955,-87.7139
Arkansas,3,34.48,-93.0709
Florida,3,26.7208,-80.0606
Maryland,3,38.9682,-76.9522
California,3,33.9304,-118.231
Ohio,3,41.4616,-81.6042
District of Columbia,3,38.9513,-77.0229
Virginia,3,36.8477,-76.281
California,3,34.005,-118.333
Missouri,3,38.6122,-90.3135
California,3,37.7834,-122.221
California,3,37.9474,-122.356
Missouri,3,38.6293,-90.2064
Oklahoma,3,35.4733,-97.5182
Texas,3,29.7436,-95.4136
Illinois,3,41.7669,-87.6518
Ohio,3,41.6303,-83.521
Florida,3,28.6611,-81.3656
Florida,3,26.4634,-80.0847
New Jersey,3,40.6895,-74.2032
Alabama,3,31.2203,-85.3891
Michigan,3,42.3911,-83.188
Arizona,3,33.3548,-111.946
Indiana,3,41.0679,-85.1677
Washington,3,47.1813,-122.403
Washington,3,46.2365,-119.099
Washington,3,47.1818,-122.403
Indiana,3,39.7747,-86.1022
Vermont,3,44.4206,-72.0173
Mississippi,3,32.3261,-90.8868
Virginia,3,36.8288,-76.0662
Virginia,3,36.8133,-76.2639
Virginia,3,36.9067,-76.2463
Nebraska,3,41.2341,-96.1008
Florida,3,28.645,-82.1466
California,3,34.1436,-117.903
Pennsylvania,3,40.0177,-75.0857
Michigan,3,43.4137,-83.8961
Oregon,3,44.0618,-123.083
Michigan,3,43.0227,-83.7275
Pennsylvania,3,39.9344,-75.2192
California,3,33.8198,-116.47
Georgia,3,32.0341,-81.0804
California,3,37.975,-122.338
Georgia,3,33.738,-84.2537
Connecticut,3,41.2873,-72.9258
Illinois,3,41.8712,-87.7086
California,3,33.9932,-118.317
Missouri,3,38.7851,-90.2111
California,6,41.4838,-120.545
Indiana,5,39.5021,-86.045
South Carolina,5,34.6391,-82.4525
California,5,34.1751,-118.147
North Carolina,5,34.969,-78.9219
Georgia,5,33.9505,-84.2511
Georgia,5,33.71,-84.3798
North Carolina,4,36.114,-79.9569
California,4,36.8081,-119.889
California,4,34.1195,-117.281
Florida,4,30.431,-84.2603
New Jersey,4,39.4834,-75.0311
Florida,4,27.9704,-82.4249
Texas,4,29.5829,-95.6906
Georgia,4,33.7982,-84.6154
California,4,33.8821,-118.131
Michigan,4,42.3936,-83.1258
Tennessee,4,36.0138,-83.9152
Texas,4,29.8148,-95.5734
Louisiana,4,30.7668,-89.8604
Florida,4,25.8316,-80.23
Tennessee,4,36.0239,-83.9542
Alabama,4,33.5438,-86.783
North Carolina,4,36.0574,-79.8625
South Carolina,4,32.7985,-79.9978
Mississippi,4,34.3629,-89.8914
Pennsylvania,4,40.0397,-75.1434
Mississippi,4,33.8691,-88.5554
Mississippi,4,33.8724,-88.49
Tennessee,4,35.1698,-89.9208
Missouri,3,39.0346,-94.5217
Arkansas,3,34.2117,-92.0093
Texas,3,29.5077,-95.4599
Florida,3,26.6049,-81.8397
Oklahoma,3,35.4545,-97.4415
Louisiana,3,32.4746,-93.8118
Kansas,3,37.6734,-97.3172
Florida,3,25.8373,-80.2231
Florida,3,26.4505,-80.1223
Ohio,3,39.2152,-84.4625
California,3,34.0618,-118.29
Arkansas,3,34.7228,-92.3265
Tennessee,3,35.4037,-84.6479
Oklahoma,3,35.251,-96.9666
California,3,34.1712,-118.152
Ohio,3,39.7868,-84.2168
Arkansas,3,33.4492,-94.0348
